Pair,Ratio,Z-Score,RSI,MACD,Signal
HAPV3/CSNA3,1.9886,-0.73,47.3,-0.0292,NO SIGNAL
CYRE3/MGLU3,4.3544,-0.72,44.9,-0.0307,NO SIGNAL
BBDC4/ABEV3,1.1446,-0.72,47.5,0.0136,NO SIGNAL
CSNA3/GOAU4,0.4907,-0.72,42.2,-0.01,NO SIGNAL
EQTL3/RADL3,2.1376,-0.72,43.7,-0.0184,NO SIGNAL
CMIG4/UGPA3,0.3455,-0.71,33.5,-0.018,NO SIGNAL
KLBN11/GOAU4,1.6769,-0.71,44.0,-0.019,NO SIGNAL
RENT3/ALPA4,3.2348,-0.71,45.9,-0.0228,NO SIGNAL
BPAC11/WEGE3,1.2034,-0.71,45.6,0.0017,NO SIGNAL
BBAS3/KLBN11,1.156,-0.71,45.8,-0.004,NO SIGNAL
CMIG4/CSAN3,2.8363,-0.71,46.2,-0.0176,NO SIGNAL
VALE3/PETR3,1.5835,-0.7,40.2,-0.0459,NO SIGNAL
MULT3/USIM5,3.3507,-0.7,49.3,0.0197,NO SIGNAL
TAEE11/MGLU3,8.2489,-0.7,48.4,0.082,NO SIGNAL
EQTL3/MGLU3,7.9958,-0.69,48.7,0.0552,NO SIGNAL
VALE3/KLBN11,4.1738,-0.69,36.8,-0.1047,NO SIGNAL
GOAU4/VAMO3,3.2945,-0.66,48.2,-0.008,NO SIGNAL
CSAN3/PCAR3,1.4065,-0.65,40.8,-0.0917,NO SIGNAL
HAPV3/TOTS3,0.3544,-0.65,44.9,-0.0013,NO SIGNAL
CYRE3/YDUQ3,2.5545,-0.65,47.7,0.0338,NO SIGNAL
TOTS3/GOAU4,2.7533,-0.65,43.3,-0.0821,NO SIGNAL
WEGE3/PCAR3,16.4317,-0.65,40.5,-1.139,NO SIGNAL
MGLU3/PCAR3,1.705,-0.64,37.5,-0.177,NO SIGNAL
PETR3/GGBR4,1.911,-0.64,46.0,-0.022,NO SIGNAL
WEGE3/KLBN11,2.5364,-0.64,44.5,-0.0185,NO SIGNAL
B3SA3/KLBN11,0.8595,-0.63,44.2,-0.0038,NO SIGNAL
ABEV3/SUZB3,0.376,-0.63,45.1,-0.0034,NO SIGNAL
VALE3/PCAR3,27.0396,-0.62,37.3,-2.5285,NO SIGNAL
